,Implementation,Combination,Count
0,Implementation: GmSSL 3.1.2 Dev,ECC-SM2 / ECC_SM4_CBC_SM3 / SM2-with-SM3 ,1
1,Implementation: OpenSSL 3.0.17,ffdhe2048 / TLS_AES_128_GCM_SHA256 / ecdsa_secp521r1_sha512,240
2,Implementation: OpenSSL 3.0.17,ffdhe2048 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha256,240
3,Implementation: OpenSSL 3.0.17,ffdhe2048 / TLS_AES_128_GCM_SHA256 / ed25519,240
4,Implementation: OpenSSL 3.0.17,ffdhe2048 / TLS_AES_128_GCM_SHA256 / ecdsa_secp256r1_sha256,240
5,Implementation: OpenSSL 3.0.17,ffdhe2048 / TLS_AES_128_GCM_SHA256 / ecdsa_secp384r1_sha384,240
6,Implementation: OpenSSL 3.0.17,ffdhe2048 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha384,240
7,Implementation: OpenSSL 3.0.17,ffdhe2048 / TLS_AES_128_GCM_SHA256 / ed448,240
8,Implementation: OpenSSL 3.0.17,ffdhe2048 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha512,240
9,Implementation: OpenSSL 3.0.17,ffdhe2048 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp521r1_sha512,240
10,Implementation: OpenSSL 3.0.17,ffdhe2048 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha256,240
11,Implementation: OpenSSL 3.0.17,ffdhe2048 / TLS_CHACHA20_POLY1305_SHA256 / ed25519,240
12,Implementation: OpenSSL 3.0.17,ffdhe2048 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp256r1_sha256,240
13,Implementation: OpenSSL 3.0.17,ffdhe2048 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp384r1_sha384,240
14,Implementation: OpenSSL 3.0.17,ffdhe2048 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha384,240
15,Implementation: OpenSSL 3.0.17,ffdhe2048 / TLS_CHACHA20_POLY1305_SHA256 / ed448,240
16,Implementation: OpenSSL 3.0.17,ffdhe2048 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha512,240
17,Implementation: OpenSSL 3.0.17,ffdhe2048 / TLS_AES_256_GCM_SHA384 / ecdsa_secp521r1_sha512,240
18,Implementation: OpenSSL 3.0.17,ffdhe2048 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha256,240
19,Implementation: OpenSSL 3.0.17,ffdhe2048 / TLS_AES_256_GCM_SHA384 / ed25519,240
20,Implementation: OpenSSL 3.0.17,ffdhe2048 / TLS_AES_256_GCM_SHA384 / ecdsa_secp256r1_sha256,240
21,Implementation: OpenSSL 3.0.17,ffdhe2048 / TLS_AES_256_GCM_SHA384 / ecdsa_secp384r1_sha384,240
22,Implementation: OpenSSL 3.0.17,ffdhe2048 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha384,240
23,Implementation: OpenSSL 3.0.17,ffdhe2048 / TLS_AES_256_GCM_SHA384 / ed448,240
24,Implementation: OpenSSL 3.0.17,ffdhe2048 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha512,240
25,Implementation: OpenSSL 3.0.17,ecdh_x25519 / TLS_AES_128_GCM_SHA256 / ecdsa_secp521r1_sha512,240
26,Implementation: OpenSSL 3.0.17,ecdh_x25519 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha256,240
27,Implementation: OpenSSL 3.0.17,ecdh_x25519 / TLS_AES_128_GCM_SHA256 / ed25519,240
28,Implementation: OpenSSL 3.0.17,ecdh_x25519 / TLS_AES_128_GCM_SHA256 / ecdsa_secp256r1_sha256,240
29,Implementation: OpenSSL 3.0.17,ecdh_x25519 / TLS_AES_128_GCM_SHA256 / ecdsa_secp384r1_sha384,240
30,Implementation: OpenSSL 3.0.17,ecdh_x25519 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha384,240
31,Implementation: OpenSSL 3.0.17,ecdh_x25519 / TLS_AES_128_GCM_SHA256 / ed448,240
32,Implementation: OpenSSL 3.0.17,ecdh_x25519 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha512,240
33,Implementation: OpenSSL 3.0.17,ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp521r1_sha512,240
34,Implementation: OpenSSL 3.0.17,ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha256,240
35,Implementation: OpenSSL 3.0.17,ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / ed25519,240
36,Implementation: OpenSSL 3.0.17,ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp256r1_sha256,240
37,Implementation: OpenSSL 3.0.17,ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp384r1_sha384,240
38,Implementation: OpenSSL 3.0.17,ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha384,240
39,Implementation: OpenSSL 3.0.17,ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / ed448,240
40,Implementation: OpenSSL 3.0.17,ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha512,240
41,Implementation: OpenSSL 3.0.17,ecdh_x25519 / TLS_AES_256_GCM_SHA384 / ecdsa_secp521r1_sha512,240
42,Implementation: OpenSSL 3.0.17,ecdh_x25519 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha256,240
43,Implementation: OpenSSL 3.0.17,ecdh_x25519 / TLS_AES_256_GCM_SHA384 / ed25519,240
44,Implementation: OpenSSL 3.0.17,ecdh_x25519 / TLS_AES_256_GCM_SHA384 / ecdsa_secp256r1_sha256,240
45,Implementation: OpenSSL 3.0.17,ecdh_x25519 / TLS_AES_256_GCM_SHA384 / ecdsa_secp384r1_sha384,240
46,Implementation: OpenSSL 3.0.17,ecdh_x25519 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha384,240
47,Implementation: OpenSSL 3.0.17,ecdh_x25519 / TLS_AES_256_GCM_SHA384 / ed448,240
48,Implementation: OpenSSL 3.0.17,ecdh_x25519 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha512,240
49,Implementation: OpenSSL 3.0.17,ffdhe8192 / TLS_AES_128_GCM_SHA256 / ecdsa_secp521r1_sha512,240
50,Implementation: OpenSSL 3.0.17,ffdhe8192 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha256,240
51,Implementation: OpenSSL 3.0.17,ffdhe8192 / TLS_AES_128_GCM_SHA256 / ed25519,240
52,Implementation: OpenSSL 3.0.17,ffdhe8192 / TLS_AES_128_GCM_SHA256 / ecdsa_secp256r1_sha256,240
53,Implementation: OpenSSL 3.0.17,ffdhe8192 / TLS_AES_128_GCM_SHA256 / ecdsa_secp384r1_sha384,240
54,Implementation: OpenSSL 3.0.17,ffdhe8192 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha384,240
55,Implementation: OpenSSL 3.0.17,ffdhe8192 / TLS_AES_128_GCM_SHA256 / ed448,240
56,Implementation: OpenSSL 3.0.17,ffdhe8192 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha512,240
57,Implementation: OpenSSL 3.0.17,ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp521r1_sha512,240
58,Implementation: OpenSSL 3.0.17,ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha256,240
59,Implementation: OpenSSL 3.0.17,ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / ed25519,240
60,Implementation: OpenSSL 3.0.17,ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp256r1_sha256,240
61,Implementation: OpenSSL 3.0.17,ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp384r1_sha384,240
62,Implementation: OpenSSL 3.0.17,ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha384,240
63,Implementation: OpenSSL 3.0.17,ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / ed448,240
64,Implementation: OpenSSL 3.0.17,ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha512,240
