Source,Target,Type
OpenSSL 3.0.17,0x0603,offers_sig_alg
Data In Transit,TLS 1.3,hosts
0x74ada2ab5206c41d312b459d,sm2_with_sm3,signed_with
OpenSSL 3.0.17,0x0806,offers_sig_alg
Local_Research_Node,Data In Transit,contains
GmSSL 3.1.2 Dev,0xe013,offers_suite
OpenSSL 3.0.17,0x0805,offers_sig_alg
GmSSL 3.1.2 Dev,0x00f35f1f5354ba472d3cd57e90,presents_encryption
0x00f35f1f5354ba472d3cd57e90,sm2_with_sm3,signed_with
OpenSSL 3.0.17,ffdhe4096,offers_group
OpenSSL 3.0.17,secp384r1,offers_group
Data In Transit,TLCP,hosts
TLS 1.3,OpenSSL 3.0.17,implemented_by
OpenSSL 3.0.17,ecdh_x25519,offers_group
OpenSSL 3.0.17,ffdhe2048,offers_group
OpenSSL 3.0.17,304502210096c410533a96ec610ab80ce7facc32279e92433d0dd2c3601446390f71599f33022027b5d94327831d9d6c4d353e4077a6b3d23ad3e536a6dccb3cb6d47ee0b47dda,presents_standard
OpenSSL 3.0.17,0x0808,offers_sig_alg
OpenSSL 3.0.17,ffdhe6144,offers_group
OpenSSL 3.0.17,0x0403,offers_sig_alg
GmSSL 3.1.2 Dev,sm2_with_sm3,offers_sig_alg
TLCP,GmSSL 3.1.2 Dev,implemented_by
OpenSSL 3.0.17,0x1303,offers_suite
OpenSSL 3.0.17,ecdh_x448,offers_group
OpenSSL 3.0.17,ffdhe3072,offers_group
304502210096c410533a96ec610ab80ce7facc32279e92433d0dd2c3601446390f71599f33022027b5d94327831d9d6c4d353e4077a6b3d23ad3e536a6dccb3cb6d47ee0b47dda,ecdsa_with_sha256,signed_with
OpenSSL 3.0.17,secp256r1,offers_group
GmSSL 3.1.2 Dev,0x74ada2ab5206c41d312b459d,presents_signing
OpenSSL 3.0.17,0x0804,offers_sig_alg
OpenSSL 3.0.17,0x1301,offers_suite
OpenSSL 3.0.17,0x1302,offers_suite
OpenSSL 3.0.17,secp521r1,offers_group
OpenSSL 3.0.17,0x0503,offers_sig_alg
OpenSSL 3.0.17,ffdhe8192,offers_group
OpenSSL 3.0.17,0x0807,offers_sig_alg
