Supernode,Implementation,Protocol,KEX_Contribution,SIG_Contribution,CIPHER_Contribution,Handshake_Risk_Score
ECC-SM2 / ECC_SM4_CBC_SM3 / SM2-with-SM3 ,GmSSL 3.1.2 Dev,TLCP,0.15,0.25,0.2,0.6
ffdhe2048 / TLS_AES_128_GCM_SHA256 / ecdsa_secp521r1_sha512,OpenSSL 3.0.17,TLS 1.3,0.15,0.05,0.2,0.4
ffdhe2048 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha256,OpenSSL 3.0.17,TLS 1.3,0.15,0.25,0.2,0.6
ffdhe2048 / TLS_AES_128_GCM_SHA256 / ed25519,OpenSSL 3.0.17,TLS 1.3,0.15,0.15,0.2,0.5
ffdhe2048 / TLS_AES_128_GCM_SHA256 / ecdsa_secp256r1_sha256,OpenSSL 3.0.17,TLS 1.3,0.15,0.25,0.2,0.6
ffdhe2048 / TLS_AES_128_GCM_SHA256 / ecdsa_secp384r1_sha384,OpenSSL 3.0.17,TLS 1.3,0.15,0.15,0.2,0.5
ffdhe2048 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha384,OpenSSL 3.0.17,TLS 1.3,0.15,0.2,0.2,0.55
ffdhe2048 / TLS_AES_128_GCM_SHA256 / ed448,OpenSSL 3.0.17,TLS 1.3,0.15,0.1,0.2,0.45
ffdhe2048 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha512,OpenSSL 3.0.17,TLS 1.3,0.15,0.15,0.2,0.5
ffdhe2048 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp521r1_sha512,OpenSSL 3.0.17,TLS 1.3,0.15,0.05,0.1,0.3
ffdhe2048 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha256,OpenSSL 3.0.17,TLS 1.3,0.15,0.25,0.1,0.5
ffdhe2048 / TLS_CHACHA20_POLY1305_SHA256 / ed25519,OpenSSL 3.0.17,TLS 1.3,0.15,0.15,0.1,0.4
ffdhe2048 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp256r1_sha256,OpenSSL 3.0.17,TLS 1.3,0.15,0.25,0.1,0.5
ffdhe2048 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp384r1_sha384,OpenSSL 3.0.17,TLS 1.3,0.15,0.15,0.1,0.4
ffdhe2048 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha384,OpenSSL 3.0.17,TLS 1.3,0.15,0.2,0.1,0.45
ffdhe2048 / TLS_CHACHA20_POLY1305_SHA256 / ed448,OpenSSL 3.0.17,TLS 1.3,0.15,0.1,0.1,0.35
ffdhe2048 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha512,OpenSSL 3.0.17,TLS 1.3,0.15,0.15,0.1,0.4
ffdhe2048 / TLS_AES_256_GCM_SHA384 / ecdsa_secp521r1_sha512,OpenSSL 3.0.17,TLS 1.3,0.15,0.05,0.05,0.25
ffdhe2048 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha256,OpenSSL 3.0.17,TLS 1.3,0.15,0.25,0.05,0.45
ffdhe2048 / TLS_AES_256_GCM_SHA384 / ed25519,OpenSSL 3.0.17,TLS 1.3,0.15,0.15,0.05,0.35
ffdhe2048 / TLS_AES_256_GCM_SHA384 / ecdsa_secp256r1_sha256,OpenSSL 3.0.17,TLS 1.3,0.15,0.25,0.05,0.45
ffdhe2048 / TLS_AES_256_GCM_SHA384 / ecdsa_secp384r1_sha384,OpenSSL 3.0.17,TLS 1.3,0.15,0.15,0.05,0.35
ffdhe2048 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha384,OpenSSL 3.0.17,TLS 1.3,0.15,0.2,0.05,0.4
ffdhe2048 / TLS_AES_256_GCM_SHA384 / ed448,OpenSSL 3.0.17,TLS 1.3,0.15,0.1,0.05,0.3
ffdhe2048 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha512,OpenSSL 3.0.17,TLS 1.3,0.15,0.15,0.05,0.35
ecdh_x25519 / TLS_AES_128_GCM_SHA256 / ecdsa_secp521r1_sha512,OpenSSL 3.0.17,TLS 1.3,0.15,0.05,0.2,0.4
ecdh_x25519 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha256,OpenSSL 3.0.17,TLS 1.3,0.15,0.25,0.2,0.6
ecdh_x25519 / TLS_AES_128_GCM_SHA256 / ed25519,OpenSSL 3.0.17,TLS 1.3,0.15,0.15,0.2,0.5
ecdh_x25519 / TLS_AES_128_GCM_SHA256 / ecdsa_secp256r1_sha256,OpenSSL 3.0.17,TLS 1.3,0.15,0.25,0.2,0.6
ecdh_x25519 / TLS_AES_128_GCM_SHA256 / ecdsa_secp384r1_sha384,OpenSSL 3.0.17,TLS 1.3,0.15,0.15,0.2,0.5
ecdh_x25519 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha384,OpenSSL 3.0.17,TLS 1.3,0.15,0.2,0.2,0.55
ecdh_x25519 / TLS_AES_128_GCM_SHA256 / ed448,OpenSSL 3.0.17,TLS 1.3,0.15,0.1,0.2,0.45
ecdh_x25519 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha512,OpenSSL 3.0.17,TLS 1.3,0.15,0.15,0.2,0.5
ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp521r1_sha512,OpenSSL 3.0.17,TLS 1.3,0.15,0.05,0.1,0.3
ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha256,OpenSSL 3.0.17,TLS 1.3,0.15,0.25,0.1,0.5
ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / ed25519,OpenSSL 3.0.17,TLS 1.3,0.15,0.15,0.1,0.4
ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp256r1_sha256,OpenSSL 3.0.17,TLS 1.3,0.15,0.25,0.1,0.5
ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp384r1_sha384,OpenSSL 3.0.17,TLS 1.3,0.15,0.15,0.1,0.4
ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha384,OpenSSL 3.0.17,TLS 1.3,0.15,0.2,0.1,0.45
ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / ed448,OpenSSL 3.0.17,TLS 1.3,0.15,0.1,0.1,0.35
ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha512,OpenSSL 3.0.17,TLS 1.3,0.15,0.15,0.1,0.4
ecdh_x25519 / TLS_AES_256_GCM_SHA384 / ecdsa_secp521r1_sha512,OpenSSL 3.0.17,TLS 1.3,0.15,0.05,0.05,0.25
ecdh_x25519 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha256,OpenSSL 3.0.17,TLS 1.3,0.15,0.25,0.05,0.45
ecdh_x25519 / TLS_AES_256_GCM_SHA384 / ed25519,OpenSSL 3.0.17,TLS 1.3,0.15,0.15,0.05,0.35
ecdh_x25519 / TLS_AES_256_GCM_SHA384 / ecdsa_secp256r1_sha256,OpenSSL 3.0.17,TLS 1.3,0.15,0.25,0.05,0.45
ecdh_x25519 / TLS_AES_256_GCM_SHA384 / ecdsa_secp384r1_sha384,OpenSSL 3.0.17,TLS 1.3,0.15,0.15,0.05,0.35
ecdh_x25519 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha384,OpenSSL 3.0.17,TLS 1.3,0.15,0.2,0.05,0.4
ecdh_x25519 / TLS_AES_256_GCM_SHA384 / ed448,OpenSSL 3.0.17,TLS 1.3,0.15,0.1,0.05,0.3
ecdh_x25519 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha512,OpenSSL 3.0.17,TLS 1.3,0.15,0.15,0.05,0.35
ffdhe8192 / TLS_AES_128_GCM_SHA256 / ecdsa_secp521r1_sha512,OpenSSL 3.0.17,TLS 1.3,0.05,0.05,0.2,0.3
ffdhe8192 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha256,OpenSSL 3.0.17,TLS 1.3,0.05,0.25,0.2,0.5
ffdhe8192 / TLS_AES_128_GCM_SHA256 / ed25519,OpenSSL 3.0.17,TLS 1.3,0.05,0.15,0.2,0.4
ffdhe8192 / TLS_AES_128_GCM_SHA256 / ecdsa_secp256r1_sha256,OpenSSL 3.0.17,TLS 1.3,0.05,0.25,0.2,0.5
ffdhe8192 / TLS_AES_128_GCM_SHA256 / ecdsa_secp384r1_sha384,OpenSSL 3.0.17,TLS 1.3,0.05,0.15,0.2,0.4
ffdhe8192 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha384,OpenSSL 3.0.17,TLS 1.3,0.05,0.2,0.2,0.45
ffdhe8192 / TLS_AES_128_GCM_SHA256 / ed448,OpenSSL 3.0.17,TLS 1.3,0.05,0.1,0.2,0.35
ffdhe8192 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha512,OpenSSL 3.0.17,TLS 1.3,0.05,0.15,0.2,0.4
ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp521r1_sha512,OpenSSL 3.0.17,TLS 1.3,0.05,0.05,0.1,0.2
ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha256,OpenSSL 3.0.17,TLS 1.3,0.05,0.25,0.1,0.4
ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / ed25519,OpenSSL 3.0.17,TLS 1.3,0.05,0.15,0.1,0.3
ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp256r1_sha256,OpenSSL 3.0.17,TLS 1.3,0.05,0.25,0.1,0.4
ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp384r1_sha384,OpenSSL 3.0.17,TLS 1.3,0.05,0.15,0.1,0.3
ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha384,OpenSSL 3.0.17,TLS 1.3,0.05,0.2,0.1,0.35
ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / ed448,OpenSSL 3.0.17,TLS 1.3,0.05,0.1,0.1,0.25
ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha512,OpenSSL 3.0.17,TLS 1.3,0.05,0.15,0.1,0.3
ffdhe8192 / TLS_AES_256_GCM_SHA384 / ecdsa_secp521r1_sha512,OpenSSL 3.0.17,TLS 1.3,0.05,0.05,0.05,0.15
ffdhe8192 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha256,OpenSSL 3.0.17,TLS 1.3,0.05,0.25,0.05,0.35
ffdhe8192 / TLS_AES_256_GCM_SHA384 / ed25519,OpenSSL 3.0.17,TLS 1.3,0.05,0.15,0.05,0.25
ffdhe8192 / TLS_AES_256_GCM_SHA384 / ecdsa_secp256r1_sha256,OpenSSL 3.0.17,TLS 1.3,0.05,0.25,0.05,0.35
ffdhe8192 / TLS_AES_256_GCM_SHA384 / ecdsa_secp384r1_sha384,OpenSSL 3.0.17,TLS 1.3,0.05,0.15,0.05,0.25
ffdhe8192 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha384,OpenSSL 3.0.17,TLS 1.3,0.05,0.2,0.05,0.3
ffdhe8192 / TLS_AES_256_GCM_SHA384 / ed448,OpenSSL 3.0.17,TLS 1.3,0.05,0.1,0.05,0.2
ffdhe8192 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha512,OpenSSL 3.0.17,TLS 1.3,0.05,0.15,0.05,0.25
secp256r1 / TLS_AES_128_GCM_SHA256 / ecdsa_secp521r1_sha512,OpenSSL 3.0.17,TLS 1.3,0.15,0.05,0.2,0.4
secp256r1 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha256,OpenSSL 3.0.17,TLS 1.3,0.15,0.25,0.2,0.6
secp256r1 / TLS_AES_128_GCM_SHA256 / ed25519,OpenSSL 3.0.17,TLS 1.3,0.15,0.15,0.2,0.5
