Id;Label1;Type;Centrality_Score;Label;section;q_p;sec_level;css_qp;pims_qp
Local_Research_Node;Local_Research_Node;Origin;0;Local_Research_Node;;;;;
Data In Transit;Data In Transit;Domain;241;Data In Transit;;;;;
TLCP;TLCP;Protocol;1;TLCP;;;;;
GmSSL 3.1.2 Dev;GmSSL 3.1.2 Dev;Implementation;1;GmSSL 3.1.2 Dev;;;;;
ECC-SM2 / ECC_SM4_CBC_SM3 / SM2-with-SM3;ECC-SM2 / ECC_SM4_CBC_SM3 / SM2-with-SM3;Supernode;1;;;;;;
SM2;sm2p256v1;Primitive;2;sm2p256v1;PRIMITIVE;0.75;128;;
SMS4;sm4;Primitive;1;sm4;PRIMITIVE;0.5;128;;
SM3;sm3;Primitive;2;sm3;HASH;;;0.5;0
TLS 1.3;TLS 1.3;Protocol;240;TLS 1.3;;;;;
OpenSSL 3.0.17;OpenSSL 3.0.17;Implementation;240;OpenSSL 3.0.17;;;;;
ffdhe2048 / TLS_AES_128_GCM_SHA256 / ecdsa_secp521r1_sha512;ffdhe2048 / TLS_AES_128_GCM_SHA256 / ecdsa_secp521r1_sha512;Supernode;1;;;;;;
ffdhe2048_supported;ffdhe2048;Primitive;24;ffdhe2048;PRIMITIVE;0.75;112;;
aes-128;aes-128;Primitive;80;aes-128;PRIMITIVE;0.5;128;;
sha-256;SHA-256;Primitive;220;SHA-256;HASH;;;0.5;0
ecdsa_secp521r1;ecdsa_secp521r1;Primitive;30;ecdsa_secp521r1;PRIMITIVE;0.25;256;;
sha-512;SHA-512;Primitive;90;SHA-512;HASH;;;0;0
ffdhe2048 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha256;ffdhe2048 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha256;Supernode;1;;;;;;
rsa-2048;RSA-2048;Primitive;90;RSA-2048;PRIMITIVE;0.75;112;;
ffdhe2048 / TLS_AES_128_GCM_SHA256 / ed25519;ffdhe2048 / TLS_AES_128_GCM_SHA256 / ed25519;Supernode;1;;;;;;
ed25519;ed25519;Primitive;30;ed25519;PRIMITIVE;0.75;128;;
ffdhe2048 / TLS_AES_128_GCM_SHA256 / ecdsa_secp256r1_sha256;ffdhe2048 / TLS_AES_128_GCM_SHA256 / ecdsa_secp256r1_sha256;Supernode;1;;;;;;
ecdsa_secp256r1;ecdsa_secp256r1;Primitive;30;ecdsa_secp256r1;PRIMITIVE;0.75;128;;
ffdhe2048 / TLS_AES_128_GCM_SHA256 / ecdsa_secp384r1_sha384;ffdhe2048 / TLS_AES_128_GCM_SHA256 / ecdsa_secp384r1_sha384;Supernode;1;;;;;;
ecdsa_secp384r1;ecdsa_secp384r1;Primitive;30;ecdsa_secp384r1;PRIMITIVE;0.5;192;;
sha-384;SHA-384;Primitive;140;SHA-384;HASH;;;0.25;0
ffdhe2048 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha384;ffdhe2048 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha384;Supernode;1;;;;;;
